"","service_date","time","route_id","route_name","trip_freq","trip_freq_adj","sub_route","trip_id","stop_id","departure_terminal","mbta_sched_departure","actual_departure","pax_on","pax_load","pax_off","mbta_sched_arrival","actual_arrival","arrival_terminal","vessel_time_slot","trip_endpoint","travel_direction","ObjectId","week"
"65","2021/08/03","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","18:15-F4-CNY-LWS","18:15-F4-CNY-LWS","Navy Yard","2021/08/03 22:15:00+00","2021-08-03 18:15:00",4,4,-4,"2021/08/03 22:25:00+00","2021-08-03 18:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",114291,"Tuesday"
"66","2021/08/04","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","17:45-F4-LWS-CNY","17:45-F4-LWS-CNY","Long Wharf S","2021/08/04 21:45:00+00","2021-08-04 17:45:00",5,5,-5,"2021/08/04 21:55:00+00","2021-08-04 17:55:00","Navy Yard","Secondary","Trip Endpoint","From Boston",114376,"Wednesday"
"67","2021/08/06","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","17:00-F4-CNY-LWS","17:00-F4-CNY-LWS","Navy Yard","2021/08/06 21:00:00+00","2021-08-06 17:00:00",8,8,-8,"2021/08/06 21:10:00+00","2021-08-06 17:10:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",114714,"Friday"
"68","2021/08/05","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","16:00-F4-CNY-LWS","16:00-F4-CNY-LWS","Navy Yard","2021/08/05 20:00:00+00","2021-08-05 16:00:00",13,13,-13,"2021/08/05 20:10:00+00","2021-08-05 16:10:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",114797,"Thursday"
"69","2021/09/06","04:00:00+00","F4","F4-Charlestown","Holiday","Sat (Sched)","F4-Charlestown-Boston","18:15-F4-CNY-LWS","18:15-F4-CNY-LWS","Navy Yard","2021/09/06 22:15:00+00","2021-09-06 18:15:00",21,21,-21,"2021/09/06 22:25:00+00","2021-09-06 18:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",116481,"Monday"
"70","2021/09/07","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","06:30-F4-LWS-CNY","06:30-F4-LWS-CNY","Long Wharf S","2021/09/07 10:30:00+00","2021-09-07 06:30:00",0,0,0,"2021/09/07 10:40:00+00","2021-09-07 06:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",116482,"Tuesday"
"71","2021/09/09","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","08:45-F4-LWS-CNY","08:45-F4-LWS-CNY","Long Wharf S","2021/09/09 12:45:00+00","2021-09-09 08:45:00",1,1,-1,"2021/09/09 12:55:00+00","2021-09-09 08:55:00","Navy Yard","Secondary","Trip Endpoint","From Boston",116568,"Thursday"
"72","2021/09/10","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","08:30-F4-CNY-LWS","08:30-F4-CNY-LWS","Navy Yard","2021/09/10 12:30:00+00","2021-09-10 08:30:00",5,5,-5,"2021/09/10 12:40:00+00","2021-09-10 08:40:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",116653,"Friday"
"73","2021/09/07","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","18:30-F4-LWS-CNY","18:30-F4-LWS-CNY","Long Wharf S","2021/09/07 22:30:00+00","2021-09-07 18:30:00",1,1,-1,"2021/09/07 22:40:00+00","2021-09-07 18:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",116734,"Tuesday"
"74","2021/09/12","04:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Boston-Charlestown","15:00-F4-LWS-CNY","15:00-F4-LWS-CNY","Long Wharf S","2021/09/12 19:00:00+00","2021-09-12 15:00:00",33,33,-33,"2021/09/12 19:10:00+00","2021-09-12 15:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",117075,"Sunday"
"75","2021/10/04","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","07:00-F4-LWS-CNY","07:00-F4-LWS-CNY","Long Wharf S","2021/10/04 11:00:00+00","2021-10-04 07:00:00",0,0,0,"2021/10/04 11:10:00+00","2021-10-04 07:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",118084,"Monday"
"76","2021/10/04","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","16:15-F4-LWS-CNY","16:15-F4-LWS-CNY","Long Wharf S","2021/10/04 20:15:00+00","2021-10-04 16:15:00",1,1,-1,"2021/10/04 20:25:00+00","2021-10-04 16:25:00","Navy Yard","Secondary","Trip Endpoint","From Boston",118168,"Monday"
"77","2021/10/06","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","09:15-F4-CNY-LWS","09:15-F4-CNY-LWS","Navy Yard","2021/10/06 13:15:00+00","2021-10-06 09:15:00",4,4,-4,"2021/10/06 13:25:00+00","2021-10-06 09:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",118254,"Wednesday"
"78","2021/10/08","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","07:30-F4-LWS-CNY","07:30-F4-LWS-CNY","Long Wharf S","2021/10/08 11:30:00+00","2021-10-08 07:30:00",0,0,0,"2021/10/08 11:40:00+00","2021-10-08 07:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",118508,"Friday"
